,Poem name,Location,Split
0,The world is watching,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The world is watching.en.txt,Train
1,in_the_clouds,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/in_the_clouds.en.txt,Train
2,inimitables,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/inimitables.en.txt,Train
3,The State of things,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The State of things.en.txt,Train
4,picasso_in_botswana,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/picasso_in_botswana.en.txt,Train
5,new_worlds,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/new_worlds.en.txt,Train
6,burn_after_selling,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/burn_after_selling.en.txt,Train
7,The Green Dream,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The Green Dream.en.txt,Train
8,metareality,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/metareality.en.txt,Train
9,PeacePoems1914IPeacePoembyRupertBrooke,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoems1914IPeacePoembyRupertBrooke.txt,Train
10,PeacePoemsPeaceAndPeaceOfMindPoembyGajananMishra,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPeaceAndPeaceOfMindPoembyGajananMishra.txt,Train
11,PeacePoemsAtPeacePoembyTatiannaReiMoonshadow,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsAtPeacePoembyTatiannaReiMoonshadow.txt,Train
12,PeacePoemsPeaceRestoredPoembyJamesShirley,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPeaceRestoredPoembyJamesShirley.txt,Train
13,PeacePoemsPeaceIsAFictionOfOurFaithPoembyEmilyDickinson,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPeaceIsAFictionOfOurFaithPoembyEmilyDickinson.txt,Train
14,PeacePoemsPeacePoembyGeorgeHerbert,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPeacePoembyGeorgeHerbert.txt,Train
15,PeacePoemsPeaceBeWithYouLatinPaxVobiscumPoembyRajaramRamachandran,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPeaceBeWithYouLatinPaxVobiscumPoembyRajaramRamachandran.txt,Train
16,PeacePoemsThePriceOfPeacePoembyHenryVanDyke,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsThePriceOfPeacePoembyHenryVanDyke.txt,Train
17,PeacePoemsLetUsLiveInPeacePoembyFrederickKambembaYamusangie,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsLetUsLiveInPeacePoembyFrederickKambembaYamusangie.txt,Train
18,PeacePoemsPartInPeaceIsDayBeforeUsPoembySarahFlowerAdams,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPartInPeaceIsDayBeforeUsPoembySarahFlowerAdams.txt,Train
19,PeacePoemsMondayNightMay11th1846DomesticPeacePoembyAnneBront+½,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsMondayNightMay11th1846DomesticPeacePoembyAnneBront+½.txt,Train
20,PeacePoemsWhenTheresPeaceAndLoveWithinPoembyWilliamClark,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsWhenTheresPeaceAndLoveWithinPoembyWilliamClark.txt,Train
21,PeacePoemsTheGardenerLxiPeaceMyHeartPoembyRabindranathTagore,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsTheGardenerLxiPeaceMyHeartPoembyRabindranathTagore.txt,Train
22,PeacePoemsMyChildWaftsPeacePoembyYehudaAmichai,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsMyChildWaftsPeacePoembyYehudaAmichai.txt,Train
23,PeacePoemsIManyTimesThoughtPeaceHadComePoembyEmilyDickinson,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsIManyTimesThoughtPeaceHadComePoembyEmilyDickinson.txt,Train
24,PeacePoemsAPeaceOfMindPoembyRaviSathasivam,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsAPeaceOfMindPoembyRaviSathasivam.txt,Train
25,PeacePoemsPeacePoembyJohnHay,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPeacePoembyJohnHay.txt,Train
26,PeacePoemsPromiseOfPeacePoembyRobinsonJeffers,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPromiseOfPeacePoembyRobinsonJeffers.txt,Train
27,PeacePoemsPeaceXviiiPoembyKhalilGibran,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsPeaceXviiiPoembyKhalilGibran.txt,Train
28,PeacePoemsASenseOfPeacePoembyErnestineNorthover,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsASenseOfPeacePoembyErnestineNorthover.txt,Train
29,PeacePoemsnurturedInPeaceCoupletsPoembyDeboraShort,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsnurturedInPeaceCoupletsPoembyDeboraShort.txt,Train
30,PeacePoemsIFindNoPeacePoembySirThomasWyatt,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsIFindNoPeacePoembySirThomasWyatt.txt,Train
31,PeacePoemsAHandOnHerGownThePeacePoembyThampiKEE,[KAGGLE_DS_ROOT]/poemsdataset/topics/peace/PeacePoemsAHandOnHerGownThePeacePoembyThampiKEE.txt,Train
