,Poem name,Location,Split
0,Tallar_el_cristal,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/Tallar_el_cristal.en.txt,Train
1,The world is watching,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The world is watching.en.txt,Train
2,Oceanos,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/Oceanos.en.txt,Train
3,picasso_in_botswana,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/picasso_in_botswana.en.txt,Train
4,The State of things,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The State of things.en.txt,Train
5,The Green Dream,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The Green Dream.en.txt,Train
6,burn_after_selling,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/burn_after_selling.en.txt,Train
7,in_the_clouds,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/in_the_clouds.en.txt,Train
8,metareality,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/metareality.en.txt,Train
9,AngelPoemsAngelDancerPoembyHughCobb,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAngelDancerPoembyHughCobb.txt,Train
10,AngelPoemsSheWasAnAngelPoembyLovinaSylviaChidi,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsSheWasAnAngelPoembyLovinaSylviaChidi.txt,Train
11,AngelPoemsAnAngelOfGracePoembyGrahamJones,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAnAngelOfGracePoembyGrahamJones.txt,Train
12,AngelPoemsTheWingsOfAnAngelPoembyHerbertHSmith,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsTheWingsOfAnAngelPoembyHerbertHSmith.txt,Train
13,AngelPoemsAngelOfLovePoembyDorianPetersenPotter,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAngelOfLovePoembyDorianPetersenPotter.txt,Train
14,AngelPoemsAnAngelPoembyEdwardRStinerSr,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAnAngelPoembyEdwardRStinerSr.txt,Train
15,AngelPoemsWhiteAngelPoembyGeeCiiSchnider,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsWhiteAngelPoembyGeeCiiSchnider.txt,Train
16,AngelPoemsDarkAngelPoembyAngelCroshier,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsDarkAngelPoembyAngelCroshier.txt,Train
17,AngelPoemsoneOfMyAncientOnesMyAngelPoembyLesaMRK,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsoneOfMyAncientOnesMyAngelPoembyLesaMRK.txt,Train
18,AngelPoemsMyAngelILoveToWatchYouSleepPoembyRaviSathasivam,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsMyAngelILoveToWatchYouSleepPoembyRaviSathasivam.txt,Train
19,AngelPoemsMyAngelPoembyhazemaljaber,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsMyAngelPoembyhazemaljaber.txt,Train
20,AngelPoemsAngelPoembyEMMAFunnell,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAngelPoembyEMMAFunnell.txt,Train
21,AngelPoemsTheAngelOfLifePoembyRichardRowe,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsTheAngelOfLifePoembyRichardRowe.txt,Train
22,AngelPoemsAnAngelGoesToBedPoembyUriahHamilton,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAnAngelGoesToBedPoembyUriahHamilton.txt,Train
23,AngelPoemsTheHourOfTheAngelPoembyRudyardKipling,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsTheHourOfTheAngelPoembyRudyardKipling.txt,Train
24,AngelPoemsSweetDreamsMyAngelPoembyAngieWatson,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsSweetDreamsMyAngelPoembyAngieWatson.txt,Train
25,AngelPoemsTouchedByAnAngelPoembyMayaAngelou,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsTouchedByAnAngelPoembyMayaAngelou.txt,Train
26,AngelPoemsMyAngelQuotPoembyPaulineDiBenedetto,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsMyAngelQuotPoembyPaulineDiBenedetto.txt,Train
27,AngelPoemsToAnAngelPoembyJefferyConway,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsToAnAngelPoembyJefferyConway.txt,Train
28,AngelPoemsAngelInTheDarknessPoembyDavidWagner,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAngelInTheDarknessPoembyDavidWagner.txt,Train
29,AngelPoemsTheAngelOfMyHeartPoembyDanielBrowne,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsTheAngelOfMyHeartPoembyDanielBrowne.txt,Train
30,AngelPoemsFallenAngelPoembyAkaraK,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsFallenAngelPoembyAkaraK.txt,Train
31,AngelPoemsTheDestroyingAngelPoembyWilliamTopazMcGonagall,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsTheDestroyingAngelPoembyWilliamTopazMcGonagall.txt,Train
32,AngelPoemsAngelPoembytakeywilliams,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAngelPoembytakeywilliams.txt,Train
33,AngelPoemsDarkAngelMyAngelPoembyToughAngelflypurplebutterflyfly,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsDarkAngelMyAngelPoembyToughAngelflypurplebutterflyfly.txt,Train
34,AngelPoemsZzzzzzAngelPoembyPdishere,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsZzzzzzAngelPoembyPdishere.txt,Train
35,AngelPoemsAngelAngelPoembyPattiMasterman,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsAngelAngelPoembyPattiMasterman.txt,Train
36,AngelPoemsHoldingHandsWithAnAngelPoembyEboneIngram,[KAGGLE_DS_ROOT]/poemsdataset/topics/angel/AngelPoemsHoldingHandsWithAnAngelPoembyEboneIngram.txt,Train
