,Poem name,Location,Split
0,The State of things,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The State of things.en.txt,Train
1,Tallar_el_cristal,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/Tallar_el_cristal.en.txt,Train
2,new_worlds,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/new_worlds.en.txt,Train
3,The world is watching,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The world is watching.en.txt,Train
4,metareality,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/metareality.en.txt,Train
5,burn_after_selling,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/burn_after_selling.en.txt,Train
6,The Green Dream,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/The Green Dream.en.txt,Train
7,in_the_clouds,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/in_the_clouds.en.txt,Train
8,Oceanos,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/en.txt/Oceanos.en.txt,Train
9,KenningsPoemsViewOfMotherKenningsPoembyJazlleDH,[KAGGLE_DS_ROOT]/poemsdataset/forms/kennings/KenningsPoemsViewOfMotherKenningsPoembyJazlleDH.txt,Train
10,KenningsPoemsKenningsRhymePoembyBernardFAsuncion,[KAGGLE_DS_ROOT]/poemsdataset/forms/kennings/KenningsPoemsKenningsRhymePoembyBernardFAsuncion.txt,Train
11,KenningsPoemsComparativeDiscussionKenningsPoetryPoembyMuzahidulReza,[KAGGLE_DS_ROOT]/poemsdataset/forms/kennings/KenningsPoemsComparativeDiscussionKenningsPoetryPoembyMuzahidulReza.txt,Train
12,KenningsPoemsForestKenningsPoetryPoembyMuzahidulReza,[KAGGLE_DS_ROOT]/poemsdataset/forms/kennings/KenningsPoemsForestKenningsPoetryPoembyMuzahidulReza.txt,Train
13,KenningsPoemsPetCatTomKenningsPoetryPoembyMuzahidulReza,[KAGGLE_DS_ROOT]/poemsdataset/forms/kennings/KenningsPoemsPetCatTomKenningsPoetryPoembyMuzahidulReza.txt,Train
14,KenningsPoemsPowerOfIllPowersKenningsPoetryPoembyMuzahidulReza,[KAGGLE_DS_ROOT]/poemsdataset/forms/kennings/KenningsPoemsPowerOfIllPowersKenningsPoetryPoembyMuzahidulReza.txt,Train
15,KenningsPoemsTimesPassAgeGoesKenningsPoetryPoembyMuzahidulReza,[KAGGLE_DS_ROOT]/poemsdataset/forms/kennings/KenningsPoemsTimesPassAgeGoesKenningsPoetryPoembyMuzahidulReza.txt,Train
16,ParisPoemsAdieuParisPoembyGabrielVicaire,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsAdieuParisPoembyGabrielVicaire.txt,Train
17,ParisPoemsFromParisToBrussels11PM15OctoberToHalfPast1PM16ProemAtTheParisStationPoembyDanteGabrielRossetti,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsFromParisToBrussels11PM15OctoberToHalfPast1PM16ProemAtTheParisStationPoembyDanteGabrielRossetti.txt,Train
18,ParisPoemsImNotALittleParisNisamMalaParisPoembyJankovicZoran,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsImNotALittleParisNisamMalaParisPoembyJankovicZoran.txt,Train
19,ParisPoemsParisPoembyArthurSymons,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisPoembyArthurSymons.txt,Train
20,ParisPoemsParisSongPoembyAldoKraas,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisSongPoembyAldoKraas.txt,Train
21,ParisPoemsParisPoembySylviaFrancesChan,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisPoembySylviaFrancesChan.txt,Train
22,ParisPoemsParisPoembyAldoKraas,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisPoembyAldoKraas.txt,Train
23,ParisPoemsCafeParisPoembyArthurQKromwelle,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsCafeParisPoembyArthurQKromwelle.txt,Train
24,ParisPoemsFestivalHaikuParisChocolateShow2012Poembyjohntiongchunghoo,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsFestivalHaikuParisChocolateShow2012Poembyjohntiongchunghoo.txt,Train
25,ParisPoemsTheLiberationOfBeverlyAnnParisIsBurningPoembyTheodoraTheoOnken,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsTheLiberationOfBeverlyAnnParisIsBurningPoembyTheodoraTheoOnken.txt,Train
26,ParisPoemsOParisTheCityOfLovePoembyAmitavaSur,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsOParisTheCityOfLovePoembyAmitavaSur.txt,Train
27,ParisPoemsAParisStateOfMindPoembyRobinBennett,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsAParisStateOfMindPoembyRobinBennett.txt,Train
28,ParisPoemsDancinInParisPoembyMaryNaylor,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsDancinInParisPoembyMaryNaylor.txt,Train
29,ParisPoemsToParisPoembyPirateLoveMagicMan,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsToParisPoembyPirateLoveMagicMan.txt,Train
30,ParisPoemsParisAtNightPoembyJacquesPrevert,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisAtNightPoembyJacquesPrevert.txt,Train
31,ParisPoemsOhParisPoembyJeffHobbs,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsOhParisPoembyJeffHobbs.txt,Train
32,ParisPoemsPlasterdInParisPoembyarchielangford,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsPlasterdInParisPoembyarchielangford.txt,Train
33,ParisPoemsLePrintempsDesEnvironsDeParisPoembyMarcAntoineGirard,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsLePrintempsDesEnvironsDeParisPoembyMarcAntoineGirard.txt,Train
34,ParisPoemsParisPoembyMartaXoxx,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisPoembyMartaXoxx.txt,Train
35,ParisPoemsPlaceDeLaBastilleParisPoembyDanteGabrielRossetti,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsPlaceDeLaBastilleParisPoembyDanteGabrielRossetti.txt,Train
36,ParisPoemstaiwanFangMingParisIsCryingSophyChensPoetryTranslationCEPoembySophyChen,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemstaiwanFangMingParisIsCryingSophyChensPoetryTranslationCEPoembySophyChen.txt,Train
37,ParisPoemsParisInSpringtimePoembyScarboroughGypsy,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisInSpringtimePoembyScarboroughGypsy.txt,Train
38,ParisPoemsTravelHaikuSpringInParisPoembyjohntiongchunghoo,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsTravelHaikuSpringInParisPoembyjohntiongchunghoo.txt,Train
39,ParisPoemsParisAndDiomedesPoembyGeorgeMeredith,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisAndDiomedesPoembyGeorgeMeredith.txt,Train
40,ParisPoemsDreamsInlondonParisMoscowPoembyahmedkhaled,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsDreamsInlondonParisMoscowPoembyahmedkhaled.txt,Train
41,ParisPoemsFromVirginiaToParisPoembyAmbroseBierce,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsFromVirginiaToParisPoembyAmbroseBierce.txt,Train
42,ParisPoemsWeekendInParisPoembyChipRice,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsWeekendInParisPoembyChipRice.txt,Train
43,ParisPoemsMyCherishCityParisPoembyNilayVyas,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsMyCherishCityParisPoembyNilayVyas.txt,Train
44,ParisPoemsLinesOnThePlaceDeLaConcordeAtParisPoembyAmeliaOpie,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsLinesOnThePlaceDeLaConcordeAtParisPoembyAmeliaOpie.txt,Train
45,ParisPoemsVedEnVensAfrejseTilParisPoembyHansChristianAndersen,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsVedEnVensAfrejseTilParisPoembyHansChristianAndersen.txt,Train
46,ParisPoemsLonelyForParisInSpringRhythmicon50LeadSheetsWithPoemsPoembyPeterSQuinn,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsLonelyForParisInSpringRhythmicon50LeadSheetsWithPoemsPoembyPeterSQuinn.txt,Train
47,ParisPoemsLondonToParisPoembyJoyceHemsley,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsLondonToParisPoembyJoyceHemsley.txt,Train
48,ParisPoemsParisPoembyAlanSeeger,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisPoembyAlanSeeger.txt,Train
49,ParisPoemsPlace1AnOdeToParisPoembyDrGeetaRadhakrishnaMenon,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsPlace1AnOdeToParisPoembyDrGeetaRadhakrishnaMenon.txt,Train
50,ParisPoemsParisPoembyCharlesBukowski,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsParisPoembyCharlesBukowski.txt,Train
51,ParisPoemsInParisPoembyMarinaIvanovnaTsvetaeva,[KAGGLE_DS_ROOT]/poemsdataset/topics/paris/ParisPoemsInParisPoembyMarinaIvanovnaTsvetaeva.txt,Train
