,Poem name,Location,Split
0,Como enfrentar las mentiras,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Como enfrentar las mentiras.es.txt,Train
1,in_the_clouds,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/in_the_clouds.es.txt,Train
2,Quiza_las_cuerdas,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Quiza_las_cuerdas.es.txt,Train
3,burn_after_selling,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/burn_after_selling.es.txt,Train
4,El agua rota,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/El agua rota.es.txt,Train
5,El otro,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/El otro.es.txt,Train
6,Sur,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Sur.es.txt,Train
7,Salve Selva,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Salve Selva.es.txt,Train
8,Niña Esdrújula,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Niña Esdrújula.es.txt,Train
9,Brillante letanía,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Brillante letanía.es.txt,Train
10,El fuego,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/El fuego.es.txt,Train
11,Astoria,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Astoria.es.txt,Train
12,Ceremonia para despedir al sol,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Ceremonia para despedir al sol.es.txt,Train
13,El caviar de los enfermos,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/El caviar de los enfermos.es.txt,Train
14,El río de plomo,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/El río de plomo.es.txt,Train
15,El Jardín de los Ingenuos,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/El Jardín de los Ingenuos.es.txt,Train
16,La espalda morada,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/La espalda morada.es.txt,Train
17,La_cancion_adecuada,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/La_cancion_adecuada.es.txt,Train
18,Letra outdoor,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Letra outdoor.es.txt,Train
19,Mus,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Mus.es.txt,Train
20,Musa_muchacha,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Musa_muchacha.es.txt,Train
21,Voy,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Voy.es.txt,Train
22,Agiles desmemoriados,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Agiles desmemoriados.es.txt,Train
23,El panteón de los gigantes,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/El panteón de los gigantes.es.txt,Train
24,Mares muriendo,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Mares muriendo.es.txt,Train
25,Nación de islas y puentes,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Nación de islas y puentes.es.txt,Train
26,El_laberinto,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/El_laberinto.es.txt,Train
27,Ven conmigo,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Ven conmigo.es.txt,Train
28,EL GRITO,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/EL GRITO.es.txt,Train
29,La circunstancia,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/La circunstancia.es.txt,Train
30,Nueva York,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Nueva York.es.txt,Train
31,Incendio en el museo de cera,[OWN_DS_ROOT]/marcos_de_la_fuente.txt/es.txt/Incendio en el museo de cera.es.txt,Train
